testDate,testCaseDate,from history,from,to,exchange,currency,asset,strategy,profit,sharpe,market,profit diff,trades,candleSize,historySize,quickName,raw,raw full,commission
2019-08-11T20:30:55.985Z,2019-08-11T21:27:23.310Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,neataptic,0.6194086100000078,-0.42135659136038445,513.7245814263368,-513.1051728163368,30,30,200,neataptic_X,"hiddenLayers = 3
lookAheadCandles = 6
iterations = 100
error = 0.0001
learnRate = 0.05
momentum = 0.1
architecture = ""LSTM""
minPercentIncrease = 2

[candlesForShort]
0 = 6

[candlesForLong]
0 = 6
stopLoss = 3

[RSI]
0 = 14

[SMA]
0 = 50
1 = 900
min_predictions = 200
candleSize = 30","{""strategyName"":""neataptic"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neataptic"":{""hiddenLayers"":3,""lookAheadCandles"":6,""iterations"":100,""error"":0.0001,""learnRate"":0.05,""momentum"":0.1,""architecture"":""LSTM"",""minPercentIncrease"":2,""candlesForShort"":[6],""candlesForLong"":[6],""stopLoss"":3,""RSI"":[14],""SMA"":[50,900],""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""neataptic"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""hiddenLayers = 3\nlookAheadCandles = 6\niterations = 100\nerror = 0.0001\nlearnRate = 0.05\nmomentum = 0.1\narchitecture = \""LSTM\""\nminPercentIncrease = 2\n\n[candlesForShort]\n0 = 6\n\n[candlesForLong]\n0 = 6\nstopLoss = 3\n\n[RSI]\n0 = 14\n\n[SMA]\n0 = 50\n1 = 900\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:27:41.624Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,neuralnet_SirTificate,89.1075465129395,0.024906371587132003,513.7245814263368,-424.61703491339733,77,30,200,neuralnet_SirTificate_X,"threshold_buy = 1
threshold_sell = -1
learning_rate = 0.01
momentum = 0.1
decay = 0.01
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 30","{""strategyName"":""neuralnet_SirTificate"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neuralnet_SirTificate"":{""threshold_buy"":1,""threshold_sell"":-1,""learning_rate"":0.01,""momentum"":0.1,""decay"":0.01,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""neuralnet_SirTificate"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nlearning_rate = 0.01\nmomentum = 0.1\ndecay = 0.01\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:28:02.968Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,neuralnet_zschro,210.11031827466348,0.20599946400788957,513.7245814263368,-303.61426315167336,89,30,200,neuralnet_zschro_X,"threshold_buy = 1
threshold_sell = -1
method = ""adadelta""
learning_rate = 1.2
momentum = 0.9
decay = 0.1
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 30","{""strategyName"":""neuralnet_zschro"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neuralnet_zschro"":{""threshold_buy"":1,""threshold_sell"":-1,""method"":""adadelta"",""learning_rate"":1.2,""momentum"":0.9,""decay"":0.1,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""neuralnet_zschro"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nmethod = \""adadelta\""\nlearning_rate = 1.2\nmomentum = 0.9\ndecay = 0.1\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:29:46.344Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,zuki_nn,45.049221211060996,-0.15083005539527894,513.7245814263368,-468.6753602152759,75,30,200,zuki_nn_X,"threshold_buy = 1
threshold_sell = -1
learning_rate = 0.01
momentum = 0.1
decay = 0.01
stoploss_enabled = false
stoploss_threshold = 0.85
hodl_threshold = 1
price_buffer_len = 100
min_predictions = 200
candleSize = 30","{""strategyName"":""zuki_nn"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""zuki_nn"":{""threshold_buy"":1,""threshold_sell"":-1,""learning_rate"":0.01,""momentum"":0.1,""decay"":0.01,""stoploss_enabled"":false,""stoploss_threshold"":0.85,""hodl_threshold"":1,""price_buffer_len"":100,""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""zuki_nn"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy = 1\nthreshold_sell = -1\nlearning_rate = 0.01\nmomentum = 0.1\ndecay = 0.01\nstoploss_enabled = false\nstoploss_threshold = 0.85\nhodl_threshold = 1\nprice_buffer_len = 100\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:29:48.239Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,NN_ADX_RSI,126.94844052854148,0.0040547868136111285,513.7245814263368,-386.77614089779536,105,30,200,NN_ADX_RSI_X,"SMA_long = 800
SMA_short = 40
interval = 14
SL = 1
BULL_RSI = 10
BULL_RSI_high = 80
BULL_RSI_low = 50
IDLE_RSI = 12
IDLE_RSI_high = 65
IDLE_RSI_low = 39
BEAR_RSI = 15
BEAR_RSI_high = 50
BEAR_RSI_low = 25
ROC = 9
ROC_lvl = 0
ADX = 3
ADX_high = 70
ADX_low = 50

[thresholds]
low = 30
high = 70
down = 0.1
persistence = 1
min_predictions = 200
candleSize = 30","{""strategyName"":""NN_ADX_RSI"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""NN_ADX_RSI"":{""SMA_long"":800,""SMA_short"":40,""interval"":14,""SL"":1,""BULL_RSI"":10,""BULL_RSI_high"":80,""BULL_RSI_low"":50,""IDLE_RSI"":12,""IDLE_RSI_high"":65,""IDLE_RSI_low"":39,""BEAR_RSI"":15,""BEAR_RSI_high"":50,""BEAR_RSI_low"":25,""ROC"":9,""ROC_lvl"":0,""ADX"":3,""ADX_high"":70,""ADX_low"":50,""thresholds"":{""low"":30,""high"":70,""down"":0.1,""persistence"":1},""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""NN_ADX_RSI"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""SMA_long = 800\nSMA_short = 40\ninterval = 14\nSL = 1\nBULL_RSI = 10\nBULL_RSI_high = 80\nBULL_RSI_low = 50\nIDLE_RSI = 12\nIDLE_RSI_high = 65\nIDLE_RSI_low = 39\nBEAR_RSI = 15\nBEAR_RSI_high = 50\nBEAR_RSI_low = 25\nROC = 9\nROC_lvl = 0\nADX = 3\nADX_high = 70\nADX_low = 50\n\n[thresholds]\nlow = 30\nhigh = 70\ndown = 0.1\npersistence = 1\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:30:49.829Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,n8_v2_BB_RSI_SL,102.439090903454,0.026082682225877157,513.7245814263368,-411.2854905228828,83,30,200,n8_v2_BB_RSI_SL_X,"interval = 14
SL = 1
BULL_RSI = 10
BULL_RSI_high = 80
BULL_RSI_low = 60
BEAR_RSI = 15
BEAR_RSI_high = 50
BEAR_RSI_low = 20
ADX = 3
ADX_high = 70
ADX_low = 50

[thresholds]
low = 30
high = 70
down = 0.1
persistence = 1
min_predictions = 200
candleSize = 30","{""strategyName"":""n8_v2_BB_RSI_SL"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""n8_v2_BB_RSI_SL"":{""interval"":14,""SL"":1,""BULL_RSI"":10,""BULL_RSI_high"":80,""BULL_RSI_low"":60,""BEAR_RSI"":15,""BEAR_RSI_high"":50,""BEAR_RSI_low"":20,""ADX"":3,""ADX_high"":70,""ADX_low"":50,""thresholds"":{""low"":30,""high"":70,""down"":0.1,""persistence"":1},""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""n8_v2_BB_RSI_SL"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""interval = 14\nSL = 1\nBULL_RSI = 10\nBULL_RSI_high = 80\nBULL_RSI_low = 60\nBEAR_RSI = 15\nBEAR_RSI_high = 50\nBEAR_RSI_low = 20\nADX = 3\nADX_high = 70\nADX_low = 50\n\n[thresholds]\nlow = 30\nhigh = 70\ndown = 0.1\npersistence = 1\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:31:15.741Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,Luke_NN,77.7689862930215,-0.001916901208515456,513.7245814263368,-435.95559513331534,73,30,200,Luke_NN_X,"
[neuralnet]
price_buffer_len = 100
learning_rate = 0.01
scale = 1
momentum = 0.1
decay = 0.1
min_predictions = 200
candleSize = 30","{""strategyName"":""Luke_NN"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""Luke_NN"":{""neuralnet"":{""price_buffer_len"":100,""learning_rate"":0.01,""scale"":1,""momentum"":0.1,""decay"":0.1,""min_predictions"":200},""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""Luke_NN"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""\n[neuralnet]\nprice_buffer_len = 100\nlearning_rate = 0.01\nscale = 1\nmomentum = 0.1\ndecay = 0.1\nmin_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:31:20.717Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,ManuNet,0,0,513.7245814263368,-513.7245814263368,0,30,200,ManuNet_X,"price_buffer_len = 100
scale = -1
min_predictions = 200
RsiPeriod1 = 14
RsiPeriod2 = 9
SMA1 = 10
SMA2 = 80
buyZonePercent = 0.01
sellZonePercent = 0.01
candleSize = 30","{""strategyName"":""ManuNet"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""ManuNet"":{""price_buffer_len"":100,""scale"":-1,""min_predictions"":200,""RsiPeriod1"":14,""RsiPeriod2"":9,""SMA1"":10,""SMA2"":80,""buyZonePercent"":0.01,""sellZonePercent"":0.01,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""ManuNet"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""price_buffer_len = 100\nscale = -1\nmin_predictions = 200\nRsiPeriod1 = 14\nRsiPeriod2 = 9\nSMA1 = 10\nSMA2 = 80\nbuyZonePercent = 0.01\nsellZonePercent = 0.01\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:31:35.158Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,LSTM_MACD_RSI_V3,21.478003121060013,-0.6323358912454439,513.7245814263368,-492.24657830527684,527,30,200,LSTM_MACD_RSI_V3_X,"min_predictions = 200
candleSize = 30","{""strategyName"":""LSTM_MACD_RSI_V3"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""LSTM_MACD_RSI_V3"":{""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""LSTM_MACD_RSI_V3"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:32:06.116Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,binance,USDT,BNB,n8_v2,30.53505672308151,-0.1445344614509768,513.7245814263368,-483.1895247032553,63,30,200,n8_v2_X,"min_predictions = 200
candleSize = 30","{""strategyName"":""n8_v2"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""n8_v2"":{""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""n8_v2"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""binance"",""currency"":""USDT"",""asset"":""BNB"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""min_predictions = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:32:18.275Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,poloniex,USDT,ZEC,NNv2,-12.488928740999995,-0.6654039833493997,89.41492126189277,-101.90385000289277,48,30,200,NNv2_X,"threshold_buy_bear = 1
threshold_buy_bull = 2
threshold_sell_bear = -0.2
threshold_sell_bull = -0.5
NN_SMMA_Length = 4
maFast = 30
maSlow = 720
decay = 0.6
price_buffer_len = 90
stoploss_threshold = 6
waitTime = 200
candleSize = 30","{""strategyName"":""NNv2"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""NNv2"":{""threshold_buy_bear"":1,""threshold_buy_bull"":2,""threshold_sell_bear"":-0.2,""threshold_sell_bull"":-0.5,""NN_SMMA_Length"":4,""maFast"":30,""maSlow"":720,""decay"":0.6,""price_buffer_len"":90,""stoploss_threshold"":6,""waitTime"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""NNv2"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""poloniex"",""currency"":""USDT"",""asset"":""ZEC"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""threshold_buy_bear = 1\nthreshold_buy_bull = 2\nthreshold_sell_bear = -0.2\nthreshold_sell_bull = -0.5\nNN_SMMA_Length = 4\nmaFast = 30\nmaSlow = 720\ndecay = 0.6\nprice_buffer_len = 90\nstoploss_threshold = 6\nwaitTime = 200\ncandleSize = 30""}",0.1
2019-08-11T20:30:55.985Z,2019-08-11T21:32:37.132Z,2018-12-27T20:00:00.000Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,poloniex,USDT,ZEC,neataptic,31.630766908999988,-0.36957945942217824,89.41492126189277,-57.784154352892784,118,30,200,neataptic_X,"hiddenLayers = 3
lookAheadCandles = 6
iterations = 100
error = 0.0001
learnRate = 0.05
momentum = 0.1
architecture = ""LSTM""
minPercentIncrease = 2

[candlesForShort]
0 = 6

[candlesForLong]
0 = 6
stopLoss = 3

[RSI]
0 = 14

[SMA]
0 = 50
1 = 900
min_predictions = 200
candleSize = 30","{""strategyName"":""neataptic"",""input"":{""data"":{""candleProps"":[""close"",""start""],""indicatorResults"":true,""report"":true,""roundtrips"":true,""trades"":true,""stratCandles"":true,""stratUpdates"":false,""stratCandleProps"":[""open""]},""gekkoConfig"":{""neataptic"":{""hiddenLayers"":3,""lookAheadCandles"":6,""iterations"":100,""error"":0.0001,""learnRate"":0.05,""momentum"":0.1,""architecture"":""LSTM"",""minPercentIncrease"":2,""candlesForShort"":[6],""candlesForLong"":[6],""stopLoss"":3,""RSI"":[14],""SMA"":[50,900],""min_predictions"":200,""candleSize"":30},""tradingAdvisor"":{""enabled"":true,""method"":""neataptic"",""candleSize"":30,""historySize"":200},""backtest"":{""daterange"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""}},""paperTrader"":{""enabled"":true,""feeMaker"":0.1,""feeTaker"":0.1,""feeUsing"":""maker"",""reportRoundtrips"":true,""simulationBalance"":{""asset"":0,""currency"":1000},""slippage"":0.05},""performanceAnalyzer"":{""riskFreeReturn"":2,""enabled"":true},""valid"":true,""watch"":{""exchange"":""poloniex"",""currency"":""USDT"",""asset"":""ZEC"",""dateranges"":[""JunJul""]}}},""daterange"":{""name"":""JanMay21_2019"",""from"":""2019-01-01T00:00:00Z"",""to"":""2019-07-01T00:00:00Z""},""dataRangeWithHistory"":{""name"":""JanMay21_2019"",""from"":""2018-12-27T20:00:00.000Z"",""to"":""2019-07-01T00:00:00Z""},""rawStratParams"":""hiddenLayers = 3\nlookAheadCandles = 6\niterations = 100\nerror = 0.0001\nlearnRate = 0.05\nmomentum = 0.1\narchitecture = \""LSTM\""\nminPercentIncrease = 2\n\n[candlesForShort]\n0 = 6\n\n[candlesForLong]\n0 = 6\nstopLoss = 3\n\n[RSI]\n0 = 14\n\n[SMA]\n0 = 50\n1 = 900\nmin_predictions = 200\ncandleSize = 30""}",0.1
